english,russian
Arrange,"Организовать, уладить и т.д."
Array,"Ряд, порядок, строй"
Arrest,"Задерживать, тормозить"
Arrive,Прибывать
Arrogant,Высокомерный
Arrow,"Стрела, стрелка"
Arson,Поджог
Article,Статья
Article,"Вещь, изделие"
Artificial,Искусственный
As though,Как будто
Ascend,Восходить
Ascertain,"Выяснить, установить"
Ash,"Пепел, зола"
Ashamed,Пристыженный
Ashtray,Пепельница
Aside,"В стороне, в сторону"
Aside from,Кроме
Ask around,Поспрашивать
Ask out,Пригласить сходить
Asleep,Спящий
Aspire,Стремиться
Ass,Жопа
Assassin,Убийца
Assault,"Нападение, нападать"
Assemble,Собирать
Assert,"Утверждать, отстаивать"
Assess,Оценить
Asset,"Актив, имущество"
Assign,"Назначать, присваивать"
Assimilate,Усваивать
Assist,Помогать
Associate,"Общаться, связываться"
Assume,Принимать на себя
Assume,Предпогалать
Assure,Уверять
Astonish,Изумлять
Astound,Изумлять
Asylum,Убежище
At first,Сначала
At last,Наконец
At odds with,"В противоречии, в конфликте"
At once,Сразу
At the moment,Сейчас
Atop,Наверху
Atrocity,"Зверство, злодеяние"
Attach,"Прикрепить, привязать"
Attack,"Нападать, нападение"
Attain,Достигать
Attempt,"Попытка, пытаться"
Attend,"Уделить внимание, посетить"
Attic,Чердак
Attitude,Отношение
Attorney,"Адвокат, прокурор, поверенный"
Attract,"Привлекать, притягивать"
Attribute,"Приписывать, относить"
Audible,Слышимый
Audience,Аудитория (люди)
Augment,"Увеличить, нарастить"
Aunt,Тётя
Authorize,"Дать полномочия, поручение"
Avalanche,Лавина
Average,Средний
Avert,"Предотвращать, отводить"
Avid,"Заядлый, рьяный, алчный"
Avoid,Избегать
Await,Ожидать
Awake,"Проснуться, бодрствующий"
Awe,"Трепет, благоговение"
Awesome,"Здорово, классно"
Awful,Ужасный
Awhile,Какое-то время
Awkward,Неуклюжий
Axe (ax),Топор
Axis,Ось
Bachelor,Бакалавр
Bachelor,Холостяк
Back down,"Отступить, отказаться"
Back then,Тогда
Back up,"Поддержать, прикрыть"
Backbone,Хребет
Backdrop,Фон
Background,"Происхождение, предыстория и т.д."
Background,Фон
Backpack,Рюкзак
Badge,Значок
Baffled,"В неодумении, в тупике"
Bag,"Сумка, мешок"
Bail,Залог
Bait,Приманка
Bake,Печь (выпекать)
Bald,"Лысый, плешивый"
Bale,Тюк
Balloon,Воздушный шар
Ballot,"Госолование, бюллетень"
Ban,Запрещать
Band,Ансамбль
Bandage,Повязка
Bang,"Удар, взрыв"
Banish,Отгонять
Bank on,"Надеяться, полагаться"
Bankrupt,"Банкрот, неплатежеспособный"
Banner,"Знамя, транспарант"
Baptize,Крестить
Bar,"Пластина, брусок, прут и т. д."
Bar,Загораживать
Barb,"Шип, зазубрина"
Barber,Парикмахер
Bare,Голый
Barefoot,Босиком
Barely,"Едва, лишь только"
Bargain,"Сделка, торговаться"
Bark,Кора
Bark,Лаять
Barn,Сарай
Barrel,Бочка
Barren,Бесплодный
Bartender,Бармен
Base,"Основа, основывать"
Basement,Подвал
Bash,Колотить
Basket,Корзина
Bastard,Ублюдок
Bat,Бита
Bat,Летучая мышь
Batch,"Партия, серия, группа"
Bath,Ванна
Bathe,"Купаться, купать"
Batter,"Паста, тесто, взбивать"
Battle,Битва
Bay,Залив
Be after,Иметь целью
Be back,Возвращаться
Be in,Участвовать
Be into,"Любить, увлекаться"
Be keen to,"Желать, стремиться"
Be late,Опоздать
Be off,Отсутствовать
Be on fire,Гореть
Be over,Закончиться
Be up to,Замышлять что-то
Bead,"Шарик, бусинка"
Beak,Клюв
Beam,"Балка, перекладина"
Beam,Луч
Bean,Боб
"Bear (bore, born)",Рожать
"Bear (bore, born)","Нести, втч перен."
Beard,Борода
Beast,"Зверь, животное, скот"
"Beat (beat, beaten)",Победить
"Beat (beat, beaten)",Бить
Beat up,Побить
Beauty,Красота или красавица
Beaver,Бобр
Beckon,Манить
Become of,Случиться с к-л впоследствии
Beef,Говядина
Beep,"Гудок, гудеть, пищать"
Beetle,Жук
Beforehand,Заранее
Beg,Просить
Behave,Вести себя
Behavior,Поведение
Behold,"Созерцать, видеть"
Beige,Бежевый
Belief,"Убеждение, вера"
Bell,"Колокол, колокольчик"
Bellow,"Реветь, рёв"
Belly,Живот
Belong to,Принадлежать
Beloved,Любимый
Below,"Ниже, под"
Belt,Пояс
Bench,Скамейка
"Bend (bent, bent)","Изгибать, изгиб"
Bend down,Наклониться
Beneath,"Ниже, под"
Benefit,"Польза, создавать пользу"
Benevolent,Благожелательный
Berry,Ягода
Berth,"Койка, место, полка в поезде"
Beside,Рядом
Besides,Кроме
Bestow,Даровать
Bet,"Ставка, пари, держать пари"
Betray,Предавать
Beverage,Напиток
Beware,Остерегаться
Bewilder,"Смущать, сбивать с толку"
Bias,"Склонность, предвзятость"
Bicycle,Велосипед
Bid,"Заявка, предложение цены"
Bigot,Фанатик
Bill,Счёт (к оплате)
Bill,Банкнота
Billboard,Рекламный щит
Billion,Миллиард
Bin,"Ящик, ведро, ларь"
"Bind (bound, bound)",Связывать
Binge,"Кутёж, загул, пьянка"
Birth,Рождение
Bishop,Епископ
Bitch,Сука
"Bite (bit, bitten)","Кусать, укус"
Bitter,Горький
Bizarre,"Странный, причудливый"
Black out,Обесточить
Blackmail,Шантажировать
Blade,Лезвие
Blame,Винить
Bland,"Пресный, мягкий"
Blank,"Пустой, чистый"
Blanket,"Одеяло, покрывало"
Blast,"Дуновение, порыв"
Blast,"Взрыв, взрывать"
Blatant,"Явный, вопиющий"
Blaze,"Полыхать, пламя"
Bleach,"Отбелить, обесцветить"
Bleak,Мрачный
"Bleed (bled, bled)",Кровоточить
Blend,Смешивать
Bless,Благословлять
Blind,Слепой
Blink,"Мерцать, мигать"
Bliss,Блаженство
Blizzard,"Метель, буран"
Bloat,Раздуваться
Block,"Кусок, глыба и т. д."
Block,Квартал
Block out,"Блокировать, не пускать"
Block up,Забиться (о канале)
Blonde,Блондинка
Bloom,"Расцвет, расцветать"
Blossom,"Цвести, цвет"
Blouse,Блузка
Blow (blew blown),Дуть
Blow (blew blown),Удар
Blow out,Задуть (свечу)
Blow over,"Пройти, утихнуть"
Blow up,Взорвать
Blow up,"Накачивать, надувать"
Bluff,Блеф
Blunt,"Тупой, притуплять"
Blur,"Размывать, смазывать"
Blush,"Румянец, краснеть"
Boast,"Хвастать, хвастовство"
Boat,"Лодка, судно"
Bog,"Болото, трясина"
Boil,"Кипеть, кипятить, варить"
Bold,"Смелый, дерзкий, безрассудный"
Bolster,"Укреплять, поддерживать"
Bond,"Связь, узы, соединение"
Bond,"Обязательство, облигация"
Bone,Кость
Bonfire,Костер
Boobs,Титьки
Boom,"Заграждение, пояс"
Boost,"Повышать, усиливать"
Boot,"Сапог, ботинок"
Booth,"Будка, кабина"
Booze,Выпивка
Border,"Граница, край"
Bore,Надоедать
Borough,"Район, место"
Borrow,Брать взаймы
Bother,Беспокоить
Bottom,Дно
Boulder,Валун
Bounce,"Отскакивать, прыгать"
Bound,Обязан
Boundary,"Граница, черта"
Bounds,"Границы, рамки (перен.)"
Bounty,Вознаграждение
Bout,"Всплеск, приступ"
Bout,"Бой, поединок"
Bow,"Бант, бабочка"
Bow,Лук
Bow,"Поклон, наклоняться"
Bow out,"Откланяться, уйти"
Bowel,Кишка
Bowl,Миска
Brace,"Скоба, распорка, скрепа"
Bracket,Скобка
Brag,"Хвастаться, кичиться"
Braid,Коса или оплётка
Brake,Тормоз
Branch,Ветвь
Branch,"Филиал, ответвление"
Brass,Латунь
Brassiere (bra),Бюстгальтер
Brave,Храбрый
Brawl,"Шумная драка, скандал"
Brazen,Наглый
Breach,"Брешь, прорывать, пробивать"
Breadth,"Ширина, широта"
Break,"Перерыв, перемена"
"Break (broke, broken)",Нарушать
Break away,Отделяться
Break down,Ломаться
Break into (break in),"Проникнуть, вломиться"
Break out,"Вспыхнуть, разразиться"
Break out,"Сбежать, вырваться"
Break up,Разорвать отношения
Breakthrough,"Прорыв, достижение"
Breast,Грудь
Breath,"Дыхание, вздох"
Breathe,Дышать
Breed,"Порода, поколение и т д."
"Breed (bred, bred)","Разводить, выращивать"
Brew,"Заваривать, варить напиток"
Bribe,Взятка
Brick,Кирпич
Bride,Невеста
Bridge,Мост
Brief,Краткий
Briefcase,Портфель
Bright,Яркий
Brilliant,Блестящий
Brim,Край сосуда
"Bring (brought, brought)",Принести
Bring along,Взять с собой
Bring around,Убедить
Bring back,Вернуть
Bring down,"Сбрасывать, свергать"
Bring in,Привлечь
Bring out,Выпустить (новинку и т.д.)
Bring up,Поднять тему
Bring up,Воспитывать
Brink,"Грань, край"
Brisk,"Энергичный, оживлённый"
Bristle,Щетина
Brittle,Ломкий
Broad,Широкий
Broadcast,"Транслировать, трансляция"
Broom,"Метла, веник"
Broth,"Бульон, отвар"
Bruise,"Синяк, ушиб"
Brush,"Кисть, щётка, чистить"
Brute,"Животное, зверь, грубый"
Bubble,Пузырь
Buck,"Самец, обычно рогатых"
Bucket,"Ведро, бадья"
Buckle,Пряжка
Buckle up,Пристегнуться
Bud,Бутон или почка растения
Buddy,"Дружище, парень"
Budge,Сдвинуть
Buffalo,Буйвол или бизон
Bug,Жук
Build on,"Нарастить, развить"
Built-in,Встроенный
Bulb,"Лампа, колба"
Bulge,"Бугор, выпуклость"
Bulk,Основная масса
Bullet,Пуля
Bullshit,"Ерунда, чушь"
Bully,"Задира, задирать"
Bum,Бомж или бездельник
Bump,"Шишка, выпуклость"
Bump,"Удар, ударять"
Bun,Булочка
Bunch,"Связка, пучок, группа"
Bundle,"Связка, пучок, пачка"
Bunk,"Койка, спальное место"
Bunny,"Кролик (разг, детск.)"
Burden,"Бремя, нагружать"
Burglar,Вор взломщик
Burn,Жечь
Burn down,"Сгореть, сжечь (полностью)"
Burn out,"Выгореть, перегореть"
Burrow,"Нора, зарываться"
Burst,"Взрыв, всплеск и т. д."
Bury,Хоронить
Bush,Куст
Bustle,"Суета, суматоха"
Busy,Занятый
Butcher,Мясник
Butt,"Торец, зад"
Butt,Задница
Butt in,"Встревать, вмешиваться"
Butter,Масло сливочное
Butterfly,Бабочка
Button,"Пуговица, застёгивать"
Buy up,Скупить
Buzz,Жужжать
By chance,Случайно
By far,Безусловно
By heart,Наизусть
By oneself,"Один, сам"
By the way,Кстати
Bypass,"Обходить, обход"
Cab,Такси
Cabbage,Капуста
Cabin,Хижина
Cable,"Канат, кабель, трос и т.д."
Cage,Клетка
Calf (pl:calves),Теленок
Call back,Перезвонить
Call for,"Требовать, взывать"
Call off,Отменить
Call on,"Обратиться, попросить"
Calm,"Спокойный, успокоить"
Calm down,Успокоиться
Camp,Лагерь
Cancel,Отменять
Cancer,Рак (болезнь)
Candid,"Честный, беспристрастный"
Candle,Свеча
Candy,Конфеты
Cane,Трость
Cannon,Пушка
Canopy,"Навес, тент, полог"
Canvas,Холст
Cap,"Кепка, шляпа, колпачок"
Capable,Способный к ч-л.
Capacity,"Ёмкость, вместимость"
Capacity,"Способность, возможность"
Cape,Мыс
Captive,Пленник
Capture,Захватить
Carbohydrate,Углевод
Carbon,"Углерод, уголь, графит"
Carcass,Туша
Cardboard,Картон
Career,Карьера
Caress,"Ласкать, гладить"
Cargo,"Груз, грузовой"
Carpenter,Плотник
Carpet,Ковер
Carriage,Каретка
Carrot,Морковь
Carry,Носить
Carry out,Выполнить
Cart,Телега
Cartoon,Мультфильм
Carve,Вырезать (напр. из дерева)
Cash,"Наличка, обналичить"
Casket,Шкатулка или гроб (амер.)
"Cast (cast, cast)","Бросать, метать"
"Cast (cast, cast)",Отливать
Casual,Случайный
Casualty,"Жертва, потери"
Catch,"Расслышать, уловить"
"Catch (caught, caught)",Ловить
Catch on,Становиться популярным
Catch on,Внезапно понять
Catch up on,Следить быть в курсе
Catch up with,Догнать
Cater,"Обслуживать, угождать"
Catering,Общественное питание
Cathedral,Собор
Cattle,Крупный рогатый скот
Cause,"Причина, быть причиной"
Caution,"Предосторожность, предостережение"
Cave,"Пещера, полость"
Caviar,Икра
Cavity,"Полость, впадина"
Cease,Прекращать
Cedar,Кедр
Ceiling,"Потолок, перекрытие"
Celebrate,Праздновать
Celebrity,Знаменитость
Celestial,"Астрономический, небесный"
Cell,"Ячейка, клетка"
Cellar,Подвал
Cellular,Сотовый
Cemetery,Кладбище
Censorship,Цензура
Census,Перепись
Cereal,"Злак, каша, хлопья"
Chain,Цепь
Chair,Стул
Chalk,Мел
Challenge,"Вызов, необычная задача"
Chamber,"Кабинет, зал, палата, камера"
Chancellor,Канцлер
Chant,"Петь, скандировать, песнопение"
Chaos,Хаос
Chap,Парень
Chapel,Часовня
Character,Персонаж
Charge,"Заряжать, нагружать"
Charge,Обвинять
Charge,Плата
Charity,Благотворительность
Charm,"Обаяние, очаровывать"
Chart,"Схема, график, таблица"
Chase,"Погоня, гнаться"
Chat,Болтать
Chatter,"Болтать, болтовня"
Cheat,Жульничать
Cheat on,Изменять
Check,Проверить
Check in,Вселиться (в отель)
Check into,Лечь (в больницу)
Check on,"Проверить, что всё норм"
Check out,"Посмотреть, заценить"
Check out,Освободить номер
Checkup,Медосмотр
Cheek,Щека
Cheer,"Аплодировать, радостно встречать"
Cheer on,Болеть (за спорт)
Cheer up,Взбодриться
Cheerful,"Весёлый, неунывающий"
Chef,Шеф-повар
Chemistry,Химия
Cherish,"Лелеять, хранить"
Chess,Шахматы
Chest,Грудь (грудная клетка)
Chest,Сундук
Chestnut,Каштан
Chew,Жевать
Chief,"Вождь, начальник, главный"
Childhood,Детство
Chill,"Холод, охлаждать"
Chill out,Расслабиться
Chimney,Дымовая труба
Chin,Подбородок
Chip,"Щепка, стружка"
Choir,Хор
Choke,"Задыхаться,  давиться"
Chop,Рубить
Chop down,Срубить (дерево)
Chop up,Порезать (на кусочки)
Chord,Аккорд
Chore,Скучная неприятная работа
Chorus,Припев
Christmas,Рождество
Chuck,Бросать (небрежно)
Chuckle,Посмеиваться
Chunk,Кусок
Cinema,"Кино, кинотеатр"
Cinnamon,Корица
Circle,"Круг, окружность"
Circuit,"Схема, цепь, контур"
Circumstance,Обстоятельство
Circus,Цирк
Cite,"Упоминать, цитировать"
Citizen,Гражданин
Civic,Гражданский
Civil,Гражданский
Civilian,Гражданский
Claim,"Требовать, претендовать"
Claim,"Утверждать, претендовать"
Clam,Моллюск
Clamour,"Шум, ропот, протесты"
Clamp,"Зажимать, зажим"
Clap,Хлопать в ладоши
Clarify,Прояснять
Clash,Столкновение
Clasp,"Застёжка, застёгивать"
Clause,"Пункт, статья документа"
Claw,"Коготь, клешня"
Clay,Глина
Clean up,Убрать (мусор)
Cleanse,Очищать
Clear off,Убраться вон
Clear out,"Убирать, забирать"
Clear up,Прояснить(ся)
Cleave,Раскалывать
Clench,"Стиснуть, сжать"
Clergy,Духовенство
Clerical,"Канцелярский, административный"
Clever,Умный
Click,"Щёлкать, щелчок"
Cliff,Утес
Climax,"Кульминация, разгар"
Climb,Взбираться
"Cling (clung, clung)",Цепляться
Clip,"Отсекать, обрезать"
Clip,"Зажим, зажимать"
Cloak,"Плащ, мантия, покров"
Clockwise,По часовой стрелке
Clog,Загромождать
Close down,Закрыться (насовсем)
Close in on,Приближаться
Closet,Стенной шкаф
Closure,"Закрытие, завершение"
Cloth,"Ткань, тряпка"
Clothe,"Одевать, покрывать"
Cloud,Облако
Clout,"Влияние, влиятельность"
Clove,Гвоздика
Clue,"Ключ, нить, улика"
Clump,"Комок, кучка, клок"
Clumsy,"Неловкий, неуклюжий"
Clutch,"Сцеплять, сцепление"
Clutter,"Беспорядок, куча всего"
Coach,"Автобус, вагон, телега"
Coach,Тренер
Coal,Уголь
Coarse,"Грубый, крупный, шероховатый"
Coast,Побережье
Coaster,Подставка
Coat,Покрывать
Coat,Пальто
Coax,"Убедить, соблазнить сделать"
Coconut,Кокос
Coerce,Принуждать
Coffin,Гроб
Coherent,"Согласованный, связный"
Cohesion,"Единство, согласие"
Coil,"Катушка, моток, наматывать"
Coincide,Совпасть
